query_name,taxid,scientific_name,rank,lineage,synonyms
Clostrdium disporicum,,Clostrdium disporicum,Unknown,Unknown,
Clostridia cluster I,,Clostridia cluster I,Unknown,Unknown,
Clostridiaceae,31979.0,Clostridiaceae,family,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales,
Clostridiales,186802.0,Eubacteriales,order,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia,Clostridiales
Clostridiales XIV,,Clostridiales XIV,Unknown,Unknown,
Clostridioides difficile,1496.0,Clostridioides difficile,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Peptostreptococcales; Peptostreptococcaceae; Clostridioides,Clostridium difficile (Hall and O'Toole 1935) Prevot 1938 (Approved Lists 1980); Peptoclostridium difficile
Clostridium,1485.0,Clostridium,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae,Anaerobacter; Anaerobacter Duda et al. 1996
Clostridium XIVb,,Clostridium XIVb,Unknown,Unknown,
Clostridium acetobutylicum,1488.0,Clostridium acetobutylicum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium,Clostridium acetobutyricum; Clostridium acetonobutylicum; Granulobacter pectinovorum
Clostridium aminobutyricum,33953.0,Clostridium aminobutyricum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium,'Clostridium aminobutyricum'
Clostridium aminophilum,1526.0,[Clostridium] aminophilum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Lachnoclostridium,Clostridium aminophilum
Clostridium asparagiform,,Clostridium asparagiform,Unknown,Unknown,
Clostridium bartletti,,Clostridium bartletti,Unknown,Unknown,
Clostridium beijerinckii,1520.0,Clostridium beijerinckii,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium,Clostridium beijerinckii Donker 1926 (Approved Lists 1980); Clostridium rubrum
Clostridium boltae,,Clostridium boltae,Unknown,Unknown,
Clostridium botulinum,1491.0,Clostridium botulinum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium,Bacillus botulinus; Bacillus putrificus; Botulobacillus botulinus; Clostridium putrificum; Ermengemillus botulinus
Clostridium butyricum,1492.0,Clostridium butyricum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium,Amylobacter navicula; Bacillus amylobacter; Bacillus butyricus; Bacillus navicula; Bacterium navicula
Clostridium cellulosi,29343.0,[Clostridium] cellulosi,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Oscillospiraceae incertae sedis,Clostridium cellulosi
Clostridium citroniae,358743.0,Enterocloster citroniae,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Enterocloster,Clostridium citroniae
Clostridium clostridioforme,,Clostridium clostridioforme,Unknown,Unknown,
Clostridium cluster IV,,Clostridium cluster IV,Unknown,Unknown,
Clostridium cluster XIVa,,Clostridium cluster XIVa,Unknown,Unknown,
Clostridium cluster XIVb,,Clostridium cluster XIVb,Unknown,Unknown,
Clostridium cluster XVIII,,Clostridium cluster XVIII,Unknown,Unknown,
Clostridium coccoides group,33035.0,Blautia producta,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Blautia,Blautia coccoides; Blautia producta (Pre?vot 1941) Liu et al. 2008; Blautia producta subsp. coccoides; Clostridium coccoides; Peptostreptococcus productus (Pre?vot 1941) Smith 1957 (Approved Lists 1980)
Clostridium cocleatum,69824.0,Thomasclavelia cocleata,species,cellular organisms; Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Thomasclavelia,Clostridium cocleatum
Clostridium colinum,36835.0,[Clostridium] colinum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Tyzzerella,Clostridium colinum; Clostridium colinum (ex Berkhoff et al. 1974) Berkhoff 1985
Clostridium disporicum,84024.0,Clostridium disporicum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium,
Clostridium group XI,,Clostridium group XI,Unknown,Unknown,
Clostridium hathewayi,,Clostridium hathewayi,Unknown,Unknown,
Clostridium innocuum,1522.0,[Clostridium] innocuum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium,Clostridium innocuum
Clostridium lactafifermentans,,Clostridium lactafifermentans,Unknown,Unknown,
Clostridium lavalense,460384.0,Enterocloster lavalensis,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Enterocloster,Clostridium lavalense
Clostridium leptum,1535.0,[Clostridium] leptum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Oscillospiraceae incertae sedis,Clostridium leptum
Clostridium leptum subgroup,1535.0,[Clostridium] leptum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Oscillospiraceae incertae sedis,Clostridium leptum
Clostridium lituseburense,,Clostridium lituseburense,Unknown,Unknown,
Clostridium methylpentosum,84026.0,[Clostridium] methylpentosum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Oscillospiraceae incertae sedis,Clostridium methylpentosum
Clostridium neonatale,137838.0,Clostridium neonatale,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium,
Clostridium oroticum,,Clostridium oroticum,Unknown,Unknown,
Clostridium perfringens,1502.0,Clostridium perfringens,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium,Bacterium welchii; Clostridium perfringens (Veillon and Zuber 1898) Hauduroy et al. 1937 (Approved Lists 1980); Clostridium plagarum
Clostridium ramosum,,Clostridium ramosum,Unknown,Unknown,
Clostridium saccharolyticum,84030.0,Lacrimispora saccharolytica,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Lacrimispora,Clostridium saccharolyticum
Clostridium scindens,29347.0,[Clostridium] scindens,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Lachnoclostridium,Clostridium scindens
Clostridium spiroforme,29348.0,Thomasclavelia spiroformis,species,cellular organisms; Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Thomasclavelia,Clostridium spiroforme
Clostridium subterminale,1550.0,Clostridium subterminale,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium,Bacillus subterminalis
Clostridium symbiosum,1512.0,[Clostridium] symbiosum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Otoolea,Bacteroides symbiosus; Clostridium symbiosum
Clostridium tertium,1559.0,Clostridium tertium,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium,Bacillus tertius; Henrillus tertius; Plectridium tertium
Clostridium thermocellum,1515.0,Acetivibrio thermocellus,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Acetivibrionales; Acetivibrionaceae; Acetivibrio,Clostridium thermocellum; Hungateiclostridium thermocellum; Ruminiclostridium thermocellum
Clostridium xylanovorans,100134.0,Anaerocolumna xylanovorans,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Anaerocolumna,Clostridium xylanovorans
Collinsella,102106.0,Collinsella,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Coriobacteriales; Coriobacteriaceae,
Collinsella aerofaciens,74426.0,Collinsella aerofaciens,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Coriobacteriales; Coriobacteriaceae; Collinsella,Bacteroides aerofaciens; Collinsella aerofaciens (Eggerth 1935) Kageyama et al. 1999; Eubacterium aerofaciens; Pseudobacterium aerofaciens
Comamonadaceae,80864.0,Comamonadaceae,family,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales,beta-1 subgroup
Comamonas,283.0,Comamonas,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae,Comomonas
Coprobacillus,100883.0,Coprobacillus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae,
Coprococcus,33042.0,Coprococcus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae,
Coprococcus catus,116085.0,Pseudocoprococcus catus,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Pseudocoprococcus,Coprococcus catus
Coprococcus eutactus,33043.0,Coprococcus eutactus,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Coprococcus,
Coriobacteriaceae,84107.0,Coriobacteriaceae,family,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Coriobacteriales,
Cortinariaceae,34450.0,Cortinariaceae,family,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Agaricineae,
Corynebacteriaceae,1653.0,Corynebacteriaceae,family,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales,
Corynebacterium,1716.0,Corynebacterium,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae,Turicella
Corynebacterium accolens,38284.0,Corynebacterium accolens,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium,CDC coryneform group G-1
Corynebacterium coyleae,53374.0,Corynebacterium coyleae,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium,
Corynebacterium durum,61592.0,Corynebacterium durum,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium,
Corynebacterium efficiens,152794.0,Corynebacterium efficiens,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium,
Corynebacterium jeikeium,38289.0,Corynebacterium jeikeium,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium,CDC coryneform group JK
Corynebacterium kroppenstedtii,161879.0,Corynebacterium kroppenstedtii,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium,
Corynebacterium matruchotii,43768.0,Corynebacterium matruchotii,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium,Actinomyces matruchoti; Bacterionema matruchotii; Cladothrix matruchoti; Oospora matruchoti
Corynebacterium propinquum,43769.0,Corynebacterium propinquum,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium,CDC coryneform group ANF-3
Corynebacterium pseudodiphtheriticum,37637.0,Corynebacterium pseudodiphtheriticum,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium,'Corynebacterium pseudodiphteriticum'; Bacillus pseudodiphtheriticus; Bacterium pseudodiphtheriticum; Corynebacterium hofmannii; Corynebacterium pseudodiphthericum
Corynebacterium riegelii,156976.0,Corynebacterium riegelii,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium,
Corynebacterium tuberculostearicum,38304.0,Corynebacterium tuberculostearicum,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium,
Cronobacter,413496.0,Cronobacter,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae,Cronobacter Iversen et al. 2008
Cryptobacterium,84162.0,Cryptobacterium,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Eggerthellales; Eggerthellaceae,
Cryptococcus neoformans,5207.0,Cryptococcus neoformans,species,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Cryptococcaceae; Cryptococcus; Cryptococcus neoformans species complex,"Blastomyces neoformans; Cryptococcus neoformans var. grubii; Debaryomyces neoformans; Filobasidiella neoformans; Filobasidiella neoformans Kwon-Chung, 1976"
Cupriavidus,106589.0,Cupriavidus,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae,Wautersia
Curtobacterium,2034.0,Curtobacterium,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae,
Curvibacter,281915.0,Curvibacter,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae,
Cyanobacteria,1117.0,Cyanobacteriota,phylum,cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group,Cyanobacteria; Cyanophycota; Cyanophyta; Oxygenic photosynthetic bacteria; Oxyphotobacteria
Cystofilobasidiaceae,165808.0,Cystofilobasidiaceae,family,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Cystofilobasidiales,
Dechloromonas,73029.0,Dechloromonas,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Rhodocyclales; Azonexaceae,
Deferribacter,53572.0,Deferribacter,genus,cellular organisms; Bacteria; Pseudomonadati; Deferribacterota; Deferribacteres; Deferribacterales; Deferribacteraceae,
Defluviitalea,1185408.0,Defluviitalea,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Defluviitaleaceae,
Dehalobacter,56112.0,Dehalobacter,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Desulfitobacteriaceae,
Dehalobacterium,51514.0,Dehalobacterium,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Peptococcaceae,
Deinococcaceae,183710.0,Deinococcaceae,family,cellular organisms; Bacteria; Thermotogati; Deinococcota; Deinococci; Deinococcales,
Delftia,80865.0,Delftia,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae,
Delftia acidovorans,80866.0,Delftia acidovorans,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia,Comamonas acidivorans; Comamonas acidovorans; Pseudomonas acidovorans; Pseudomonas desmolytica; Pseudomonas indoloxidans
Deltaproteobacteria,28221.0,Deltaproteobacteria,class,cellular organisms; Bacteria; delta/epsilon subdivisions,"""Deltabacteria"" Cavalier-Smith 1992; Deltabacteria Cavalier-Smith 2002; Proteobacteria delta subdivision; Purple bacteria, delta subdivision; delta proteobacteria"
Dermabacter,36739.0,Dermabacter,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micrococcales; Dermabacteraceae,
Dermabacteraceae,85020.0,Dermabacteraceae,family,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micrococcales,
Dermacoccus,57495.0,Dermacoccus,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micrococcales; Dermacoccaceae,Dermatococcus
Desulfobulbus,893.0,Desulfobulbus,genus,cellular organisms; Bacteria; Pseudomonadati; Thermodesulfobacteriota; Desulfobulbia; Desulfobulbales; Desulfobulbaceae,
Desulfosporosinus,79206.0,Desulfosporosinus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Desulfitobacteriaceae,
Desulfotomaculum,1562.0,Desulfotomaculum,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Desulfotomaculaceae,
Desulfovibrio,872.0,Desulfovibrio,genus,cellular organisms; Bacteria; Pseudomonadati; Thermodesulfobacteriota; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae,Desulfomonas; Sporovibrio
Desulfovibrio desulfuricans,876.0,Desulfovibrio desulfuricans,species,cellular organisms; Bacteria; Pseudomonadati; Thermodesulfobacteriota; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio,Bacillus desulfuricans; Microspira desulfuricans; Spirillum desulfuricans; Vibrio cholinicus
Desulfovibrio intestinalis,58621.0,Desulfovibrio intestinalis,species,cellular organisms; Bacteria; Pseudomonadati; Thermodesulfobacteriota; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio,
Desulfovibrio piger,901.0,Desulfovibrio piger,species,cellular organisms; Bacteria; Pseudomonadati; Thermodesulfobacteriota; Desulfovibrionia; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio,Desulfomonas pigra
Desulfovibrionaceae,194924.0,Desulfovibrionaceae,family,cellular organisms; Bacteria; Pseudomonadati; Thermodesulfobacteriota; Desulfovibrionia; Desulfovibrionales,
Desulfurispirillum indicum,936456.0,Desulfurispirillum indicum,species,cellular organisms; Bacteria; Pseudomonadati; Chrysiogenota; Chrysiogenia; Chrysiogenales; Chrysiogenaceae; Desulfurispirillum,Selenospirillum indicus
Dialister,39948.0,Dialister,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Negativicutes; Veillonellales; Veillonellaceae,Allisonella; Allisonella Garner et al. 2003
Dialister invisus,218538.0,Dialister invisus,species,cellular organisms; Bacteria; Bacillati; Bacillota; Negativicutes; Veillonellales; Veillonellaceae; Dialister,
Dialister micraerophilus,309120.0,Dialister micraerophilus,species,cellular organisms; Bacteria; Bacillati; Bacillota; Negativicutes; Veillonellales; Veillonellaceae; Dialister,
Dialister pneumosintes,39950.0,Dialister pneumosintes,species,cellular organisms; Bacteria; Bacillati; Bacillota; Negativicutes; Veillonellales; Veillonellaceae; Dialister,Bacillus pneumosintes; Bacteroides pneumosintes (Olitsky and Gates 1921) Holdeman and Moore 1970 (Approved Lists 1980); Dialister pneumosintes (Olitsky and Gates 1921) Moore and Moore 1994; Dialister pneumosintes var. septicemiae
Dialister propionicifaciens,308994.0,Dialister propionicifaciens,species,cellular organisms; Bacteria; Bacillati; Bacillota; Negativicutes; Veillonellales; Veillonellaceae; Dialister,
Diaphorobacter,238749.0,Diaphorobacter,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae,
Dietzia,37914.0,Dietzia,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Dietziaceae,
Dietzia maris,37915.0,Dietzia maris,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Mycobacteriales; Dietziaceae; Dietzia,"""Flavobacterium maris"" Harrison 1929; Brevibacterium maris; Rhodococcus maris"
Dioszegia,165440.0,Dioszegia,genus,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Bulleribasidiaceae,
Dokdonella,323413.0,Dokdonella,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Rhodanobacteraceae,
Dolosigranulum,29393.0,Dolosigranulum,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae,
Dolosigranulum pigrum,29394.0,Dolosigranulum pigrum,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae; Dolosigranulum,
Dorea,189330.0,Dorea,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae,
Dorea formicigenerans,39486.0,Dorea formicigenerans,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Dorea,Eubacterium formicigenerans
Dorea longicatena,88431.0,Dorea longicatena,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Dorea,
Dyadobacter,120831.0,Dyadobacter,genus,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Spirosomataceae,
Dyella,231454.0,Dyella,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Lysobacterales; Rhodanobacteraceae,
Dysgonomonas,156973.0,Dysgonomonas,genus,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Dysgonomonadaceae,
EBV,10376.0,human gammaherpesvirus 4,no rank,Viruses; Duplodnaviria; Heunggongvirae; Peploviricota; Herviviricetes; Herpesvirales; Orthoherpesviridae; Gammaherpesvirinae; Lymphocryptovirus; Lymphocryptovirus humangamma4,
Edaphobacter aggregans,570835.0,Edaphobacter aggregans,species,cellular organisms; Bacteria; Pseudomonadati; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; Edaphobacter,
Eggerthella,84111.0,Eggerthella,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Eggerthellales; Eggerthellaceae,Eggerthella Wade et al. 2009
Eggerthella lenta,84112.0,Eggerthella lenta,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Eggerthellales; Eggerthellaceae; Eggerthella,Bacteroides lentus; Eggerthella lenta (Eggerth 1935) Wade et al. 1999; Eubacterium lentum; Pseudobacterium lentum
Eikenella,538.0,Eikenella,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae,Eikenella Jackson and Goodman 1972
Eikenella corrodens,539.0,Eikenella corrodens,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Eikenella,Bacteroides corrodens; Ristella corrodens
Enhydrobacter,212791.0,Enhydrobacter,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiales incertae sedis,
Enhydrobacter aerosaccus,225324.0,Enhydrobacter aerosaccus,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiales incertae sedis; Enhydrobacter,
Enterobacter,547.0,Enterobacter,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae,"""Aerobacter"" Hormaeche and Edwards 1958; Cloaca"
Enterobacter aerogenes,548.0,Klebsiella aerogenes,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella,Aerobacter aerogenes; Enterobacter aerogenes; Klebsiella mobilis
Enterobacter asburiae,61645.0,Enterobacter asburiae,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex,CDC Enteric Group 17; Enterobacter muelleri
Enterobacter cloacae,550.0,Enterobacter cloacae,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex,Aerobacter cloacae; Bacillus cloacae; Bacterium cloacae; Cloaca cloacae
Enterobacter hormaechei,158836.0,Enterobacter hormaechei,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex,Enterobacter hormaechei O'Hara et al. 1990
Enterobacteriaceae,543.0,Enterobacteriaceae,family,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales,Enterobacteraceae
Enterobacteriaceae bacterium,1849603.0,Enterobacteriaceae bacterium,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; unclassified Enterobacteriaceae,
Enterococcaceae,81852.0,Enterococcaceae,family,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales,
Enterococcus,1350.0,Enterococcus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Enterococcaceae,
Enterococcus casseliflavus,37734.0,Enterococcus casseliflavus,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus,Enterococcus flavescens; Streptococcus casseliflavus; Streptococcus faecium subsp. casseliflavus; Streptococcus faecium var. casseliflavus; Streptococcus flavescens
Enterococcus faecalis,1351.0,Enterococcus faecalis,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus,Enterococcus proteiformis; Enterocoque; Micrococcus ovalis; Micrococcus zymogenes; Streptococcus faecalis
Enterococcus faecium,1352.0,Enterococcus faecium,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus,Streptococcus faecium
Enterococcus hirae,1354.0,Enterococcus hirae,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus,
Enterococcus mundtii,53346.0,Enterococcus mundtii,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus,
Enterococcus sp. NBRC 107345,1114161.0,Enterococcus sp. NBRC 107345,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; unclassified Enterococcus,
Enterorhabdus,580024.0,Enterorhabdus,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Eggerthellales; Eggerthellaceae,
Epilithonimonas,2782229.0,Epilithonimonas,genus,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Chryseobacterium group,
Epsilonproteobacteria,3031852.0,Epsilonproteobacteria,class,cellular organisms; Bacteria; Pseudomonadati; Campylobacterota,
Epulopiscium,2383.0,Candidatus Epulonipiscium,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae,Candidatus Epulopiscium; Epulopiscium
Eremothecium sinecaudum,45286.0,Eremothecium sinecaudum,species,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Eremothecium,Holleya sinecauda; Nematospora sinecauda
